age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,result
70,retired,married,primary,no,3782,no,no,190,1,failure,fail
38,management,married,tertiary,no,1482,yes,yes,-1,0,unknown,fail
53,retired,married,tertiary,no,7132,no,no,-1,0,unknown,fail
37,blue-collar,,secondary,no,456,no,yes,-1,0,unknown,fail
74,retired,married,tertiary,no,20422,no,no,-1,0,unknown,fail
31,blue-collar,divorced,secondary,no,916,yes,yes,-1,0,unknown,fail
38,blue-collar,,primary,no,433,no,no,136,3,failure,fail
34,blue-collar,,primary,no,455,yes,no,-1,0,unknown,fail
42,management,married,unknown,no,275,no,no,-1,0,unknown,fail
49,management,married,tertiary,no,3840,yes,no,-1,0,unknown,fail
35,technician,single,tertiary,no,576,no,no,-1,0,unknown,fail
28,services,married,secondary,no,0,yes,no,355,6,failure,fail
34,technician,married,tertiary,no,555,yes,no,-1,0,unknown,fail
39,technician,married,secondary,no,381,yes,no,347,2,failure,fail
59,self-employed,married,tertiary,no,593,no,no,-1,0,unknown,fail
34,admin.,married,secondary,no,0,yes,no,-1,0,unknown,fail
25,admin.,single,secondary,no,1235,yes,yes,349,3,failure,fail
40,management,divorced,tertiary,no,390,no,no,-1,0,unknown,fail
30,management,single,tertiary,no,-218,yes,no,-1,0,unknown,fail
50,blue-collar,,primary,no,65,yes,no,-1,0,unknown,fail
32,technician,single,tertiary,no,127,no,no,-1,0,unknown,fail
40,admin.,single,secondary,no,2040,yes,no,350,2,failure,success
33,technician,single,tertiary,no,594,yes,yes,-1,0,unknown,fail
34,management,married,secondary,no,857,yes,no,-1,0,unknown,fail
52,admin.,divorced,secondary,no,48,no,yes,-1,0,unknown,fail
55,retired,divorced,primary,no,1420,no,no,-1,0,,fail
35,admin.,single,secondary,no,128,no,no,-1,0,unknown,fail
36,self-employed,married,tertiary,no,16430,yes,no,166,3,failure,fail
34,blue-collar,single,secondary,no,-199,no,no,-1,0,unknown,fail
44,blue-collar,,primary,no,753,yes,no,-1,0,unknown,fail
38,technician,single,secondary,no,-591,yes,no,-1,0,unknown,fail
44,blue-collar,single,unknown,no,0,yes,no,-1,0,unknown,fail
28,blue-collar,single,secondary,yes,-2,yes,yes,364,5,failure,fail
37,technician,married,secondary,no,-254,yes,yes,254,2,failure,fail
37,admin.,single,secondary,no,796,yes,no,-1,0,unknown,fail
32,management,married,tertiary,no,4307,yes,no,-1,0,unknown,fail
31,blue-collar,single,secondary,no,239,yes,no,360,1,success,success
60,blue-collar,,primary,no,1138,yes,no,-1,0,unknown,fail
26,services,single,secondary,no,3,no,yes,-1,0,unknown,fail
26,entrepreneur,married,tertiary,no,37,yes,yes,363,2,failure,fail
43,blue-collar,married,primary,no,-101,yes,no,-1,0,unknown,fail
40,technician,married,tertiary,no,1759,yes,no,-1,0,,fail
28,management,single,secondary,no,1154,no,no,-1,0,,fail
40,self-employed,single,unknown,no,109,yes,no,-1,0,,fail
27,technician,single,secondary,no,274,yes,no,-1,0,,fail
43,management,married,tertiary,no,9261,yes,no,254,2,failure,fail
32,management,single,tertiary,no,2069,no,no,-1,0,,success
66,retired,married,secondary,no,0,no,no,-1,0,,fail
50,management,divorced,tertiary,no,405,no,no,-1,0,,fail
50,blue-collar,married,secondary,no,325,yes,no,-1,0,,fail
57,retired,married,primary,no,1238,yes,no,-1,0,unknown,fail
48,blue-collar,married,secondary,no,5089,yes,no,-1,0,unknown,fail
38,blue-collar,married,secondary,no,1165,yes,no,94,10,failure,success
31,management,single,tertiary,no,730,no,,-1,0,unknown,fail
38,blue-collar,single,primary,no,20,yes,,-1,0,unknown,fail
26,blue-collar,married,primary,no,755,yes,,-1,0,unknown,fail
57,technician,married,secondary,no,1741,no,,-1,0,unknown,fail
25,services,divorced,secondary,no,1694,no,,-1,0,unknown,fail
54,management,married,secondary,no,2693,no,,188,6,other,success
36,management,single,tertiary,no,2745,yes,,-1,0,unknown,fail
35,services,single,secondary,no,155,yes,,-1,0,unknown,fail
42,self-employed,single,tertiary,no,1225,no,,-1,0,unknown,fail
47,blue-collar,married,primary,no,1092,no,yes,-1,0,unknown,fail
53,entrepreneur,married,primary,no,55,no,,-1,0,unknown,fail
48,admin.,married,secondary,no,359,yes,,-1,0,unknown,fail
42,self-employed,married,secondary,no,0,no,,-1,0,unknown,fail
38,services,married,secondary,no,-762,yes,yes,-1,0,unknown,fail
38,services,married,secondary,no,-349,yes,,328,5,failure,fail
29,services,single,secondary,no,-32,no,yes,-1,0,unknown,fail
37,management,married,tertiary,,49,no,yes,-1,0,unknown,fail
30,technician,married,tertiary,no,423,yes,,-1,0,unknown,fail
32,management,married,secondary,no,1215,yes,yes,-1,0,unknown,fail
37,blue-collar,married,primary,no,5052,yes,,-1,0,unknown,fail
40,housemaid,married,primary,no,4904,yes,,356,1,failure,fail
58,management,married,primary,no,320,yes,,-1,0,unknown,fail
59,retired,married,secondary,no,3812,yes,,-1,0,,fail
30,services,single,secondary,no,140,yes,,-1,0,,success
46,admin.,married,secondary,no,974,no,,-1,0,,success
48,technician,married,secondary,no,1764,yes,,-1,0,,fail
31,management,single,tertiary,no,1308,no,,-1,0,,fail
51,self-employed,married,primary,no,106,yes,,110,2,failure,fail
54,retired,married,primary,no,-58,no,,-1,0,,fail
37,management,married,tertiary,no,3794,no,,379,1,failure,fail
57,housemaid,married,primary,no,501,yes,yes,-1,0,unknown,fail
40,management,single,tertiary,no,732,no,,-1,0,,fail
34,technician,divorced,secondary,no,2036,yes,yes,-1,0,unknown,fail
52,entrepreneur,divorced,tertiary,no,199,yes,yes,236,2,failure,fail
30,technician,single,secondary,no,782,yes,yes,,0,unknown,fail
59,retired,divorced,secondary,no,0,no,,-1,0,,fail
35,services,single,tertiary,no,0,no,,-1,0,,success
41,blue-collar,divorced,secondary,no,14,yes,yes,-1,0,unknown,fail
35,blue-collar,divorced,secondary,no,3102,yes,no,-1,0,,fail
45,technician,married,primary,no,-158,yes,no,-1,0,,fail
48,management,single,tertiary,no,648,yes,no,-1,0,,fail
52,admin.,single,secondary,no,-528,yes,yes,-1,0,unknown,success
29,admin.,single,secondary,no,103,no,no,-1,0,,fail
26,blue-collar,married,secondary,no,0,yes,no,-1,0,,fail
40,admin.,single,secondary,no,100,yes,no,461,1,success,success
33,management,married,secondary,no,4040,yes,no,-1,0,,fail
44,technician,divorced,secondary,no,-357,yes,yes,-1,0,unknown,fail
54,technician,married,secondary,no,1331,yes,no,-1,0,,fail
56,entrepreneur,married,unknown,no,88,yes,no,-1,0,,fail
41,technician,married,tertiary,no,231,no,no,-1,0,,success
37,blue-collar,married,secondary,no,421,no,yes,-1,0,unknown,fail
51,retired,married,secondary,no,0,,no,-1,0,,fail
45,admin.,married,secondary,no,1214,yes,no,-1,0,unknown,fail
39,technician,married,secondary,no,287,yes,no,-1,0,unknown,fail
33,technician,single,secondary,no,151,yes,no,236,6,failure,fail
35,management,married,tertiary,no,86,yes,no,-1,0,unknown,fail
25,self-employed,single,unknown,no,1179,no,no,185,3,failure,fail
36,blue-collar,married,secondary,no,63,yes,no,-1,0,unknown,fail
50,blue-collar,married,secondary,no,253,yes,yes,-1,0,unknown,fail
56,technician,single,tertiary,no,12539,no,no,-1,0,unknown,fail
28,admin.,single,secondary,no,26,yes,no,-1,0,unknown,fail
63,retired,married,secondary,no,474,no,no,-1,0,unknown,success
36,blue-collar,single,secondary,yes,-1157,yes,no,-1,0,unknown,fail
33,entrepreneur,married,tertiary,no,2179,yes,yes,167,2,other,fail
34,blue-collar,married,primary,no,2798,yes,no,-1,0,unknown,fail
23,technician,single,secondary,no,1587,yes,yes,-1,0,unknown,fail
35,management,single,tertiary,no,714,yes,no,224,22,failure,fail
35,management,married,tertiary,no,5057,yes,no,-1,0,unknown,fail
39,management,married,tertiary,no,588,yes,yes,-1,0,unknown,fail
32,technician,single,secondary,no,309,yes,yes,-1,0,unknown,fail
59,technician,married,tertiary,no,-91,no,no,-1,0,unknown,fail
50,admin.,divorced,secondary,no,381,no,no,212,2,other,fail
31,housemaid,married,primary,no,25,no,no,-1,0,unknown,fail
34,admin.,single,tertiary,no,5007,yes,no,-1,0,unknown,fail
49,management,married,secondary,no,338,no,no,-1,0,unknown,fail
32,technician,married,tertiary,no,415,no,no,-1,0,unknown,fail
54,admin.,married,unknown,no,140,no,no,-1,0,unknown,fail
40,admin.,married,secondary,no,0,yes,yes,-1,0,unknown,fail
40,admin.,single,secondary,no,739,yes,no,-1,0,unknown,fail
45,blue-collar,married,secondary,no,530,no,yes,-1,0,unknown,fail
37,technician,divorced,secondary,yes,0,no,yes,-1,0,unknown,fail
49,entrepreneur,married,secondary,no,2655,no,no,-1,0,unknown,fail
43,management,married,tertiary,no,5082,no,no,-1,0,unknown,fail
42,management,divorced,tertiary,no,0,no,no,-1,0,unknown,fail
52,retired,married,secondary,no,424,no,no,154,3,failure,fail
32,technician,married,secondary,no,659,no,yes,-1,0,unknown,fail
47,technician,married,tertiary,no,1430,yes,no,-1,0,unknown,fail
26,admin.,single,secondary,no,52,no,,-1,0,unknown,fail
49,technician,divorced,secondary,no,-53,yes,yes,,0,unknown,fail
29,admin.,married,secondary,no,2,yes,,362,1,failure,fail
60,management,married,secondary,no,0,no,,126,6,failure,fail
31,management,married,tertiary,no,451,yes,,-1,0,unknown,fail
31,admin.,single,secondary,no,8626,no,,111,1,failure,fail
52,services,married,secondary,no,2257,yes,,-1,0,,fail
73,retired,married,primary,no,279,no,,-1,0,,success
40,blue-collar,married,secondary,no,-428,yes,,-1,0,,fail
30,management,single,secondary,no,2143,yes,yes,-1,0,unknown,fail
44,blue-collar,married,secondary,no,138,yes,,-1,0,,fail
33,blue-collar,married,tertiary,no,221,yes,,-1,0,,fail
38,management,married,tertiary,no,7255,yes,,-1,0,,fail
42,technician,married,unknown,no,1559,no,,-1,0,,success
46,blue-collar,married,primary,no,0,no,,-1,0,,fail
,blue-collar,married,primary,no,479,yes,,-1,0,,fail
44,blue-collar,married,secondary,no,1147,yes,,-1,0,,fail
32,blue-collar,married,secondary,no,476,yes,,-1,0,,success
55,unemployed,married,secondary,no,12,no,,-1,0,,fail
37,technician,married,tertiary,no,7,yes,yes,-1,0,unknown,fail
53,management,married,secondary,no,2895,yes,,-1,0,unknown,fail
37,management,single,tertiary,no,337,yes,,-1,0,unknown,fail
30,technician,single,secondary,no,146,yes,,-1,0,unknown,fail
30,admin.,divorced,secondary,no,1,yes,,-1,0,unknown,fail
40,blue-collar,married,primary,no,4608,yes,,156,1,failure,fail
29,unemployed,single,primary,no,1374,no,,178,7,success,success
59,retired,married,unknown,no,140,no,yes,-1,0,unknown,fail
52,entrepreneur,married,secondary,no,1306,no,,-1,0,unknown,success
38,admin.,married,secondary,no,384,no,,-1,0,unknown,fail
45,services,married,secondary,no,88,yes,no,-1,0,unknown,fail
59,blue-collar,married,secondary,yes,-918,yes,no,-1,0,unknown,fail
40,admin.,married,secondary,no,168,yes,no,169,1,failure,fail
32,services,single,secondary,no,2459,yes,yes,-1,0,unknown,fail
55,retired,married,primary,no,1821,no,no,-1,0,,fail
43,entrepreneur,married,secondary,no,0,no,no,-1,0,unknown,fail
31,admin.,divorced,secondary,no,82,no,no,-1,0,unknown,fail
43,blue-collar,divorced,secondary,no,110,yes,yes,-1,0,unknown,fail
52,admin.,divorced,secondary,no,944,yes,no,-1,0,unknown,fail
23,blue-collar,married,secondary,no,-213,yes,yes,-1,0,unknown,fail
31,technician,single,secondary,no,201,no,no,-1,0,unknown,fail
25,student,single,secondary,no,1116,yes,no,71,3,failure,fail
49,blue-collar,single,primary,yes,-2604,yes,no,-1,0,unknown,fail
25,blue-collar,single,tertiary,no,1395,yes,no,-1,0,unknown,fail
32,services,single,secondary,no,0,no,no,-1,0,unknown,fail
32,admin.,single,secondary,no,8619,yes,no,-1,0,unknown,fail
37,technician,married,secondary,no,1,yes,no,-1,0,unknown,success
30,technician,single,secondary,no,58,yes,no,,0,unknown,fail
38,blue-collar,divorced,secondary,no,1344,yes,no,-1,0,unknown,fail
35,services,single,secondary,no,5551,yes,no,-1,0,unknown,fail
40,services,married,secondary,no,4157,yes,no,-1,0,unknown,fail
31,management,single,tertiary,no,453,yes,no,-1,0,unknown,fail
60,retired,married,primary,no,22018,no,no,-1,0,unknown,fail
48,management,married,secondary,no,2294,yes,no,-1,0,unknown,fail
28,admin.,married,secondary,no,0,yes,yes,-1,0,unknown,fail
47,technician,married,secondary,no,2149,yes,no,183,2,success,fail
57,admin.,single,secondary,no,3551,yes,no,-1,0,unknown,success
35,self-employed,single,tertiary,no,71,no,no,-1,0,unknown,success
30,services,married,secondary,no,208,no,no,-1,0,unknown,fail
42,blue-collar,married,primary,no,505,yes,no,-1,0,unknown,fail
31,management,married,tertiary,no,50,no,no,-1,0,unknown,fail
34,blue-collar,single,tertiary,no,42,no,no,-1,0,unknown,fail
25,technician,divorced,tertiary,no,174,no,yes,-1,0,unknown,fail
51,technician,married,secondary,no,-1944,yes,no,-1,0,unknown,success
43,admin.,divorced,secondary,no,729,yes,no,-1,0,unknown,fail
28,student,single,secondary,no,891,no,no,-1,0,unknown,fail
47,blue-collar,,secondary,no,2173,yes,no,344,5,failure,fail
33,blue-collar,married,secondary,no,-346,yes,yes,-1,0,unknown,fail
54,technician,divorced,secondary,no,221,no,no,-1,0,unknown,fail
50,admin.,married,secondary,no,2955,no,no,-1,0,unknown,fail
23,admin.,single,secondary,,1104,yes,no,-1,0,unknown,fail
31,blue-collar,single,secondary,no,0,yes,no,-1,0,unknown,fail
43,admin.,married,secondary,no,1138,no,no,-1,0,unknown,fail
60,management,married,tertiary,no,13360,no,yes,-1,0,unknown,fail
39,management,married,tertiary,no,51,no,no,-1,0,unknown,fail
54,blue-collar,married,secondary,no,532,yes,no,-1,0,unknown,fail
32,services,single,secondary,no,-121,yes,yes,-1,0,unknown,fail
30,blue-collar,married,secondary,no,313,yes,yes,364,1,failure,fail
51,technician,married,secondary,yes,61,no,yes,-1,0,unknown,fail
,services,married,secondary,no,514,yes,no,-1,0,unknown,fail
28,blue-collar,married,primary,no,-55,yes,no,-1,0,,fail
36,services,single,secondary,no,-253,yes,no,-1,0,,success
41,entrepreneur,married,secondary,no,707,no,no,-1,0,,success
45,admin.,married,secondary,no,251,yes,no,-1,0,,fail
45,management,single,tertiary,no,1411,no,no,-1,0,,fail
,services,married,secondary,no,76,yes,no,-1,0,,fail
,unemployed,divorced,secondary,no,4,no,no,-1,0,,fail
34,technician,single,tertiary,no,992,yes,no,88,2,success,fail
,blue-collar,divorced,secondary,no,1820,yes,no,-1,0,,fail
27,technician,single,secondary,no,261,yes,no,247,2,failure,fail
,services,married,secondary,no,1757,,no,-1,0,,fail
29,unemployed,married,secondary,no,687,no,no,88,6,other,fail
42,services,single,secondary,no,247,yes,no,-1,0,,fail
,management,married,tertiary,no,2076,no,no,-1,0,,fail
,services,married,primary,no,1496,yes,no,258,2,failure,fail
35,services,single,secondary,no,-639,yes,yes,-1,0,unknown,fail
33,blue-collar,divorced,unknown,yes,-274,yes,yes,329,2,failure,success
38,technician,married,unknown,no,499,no,no,-1,0,unknown,fail
37,management,single,tertiary,no,131,no,no,-1,0,unknown,fail
,student,single,secondary,no,3176,no,no,-1,0,unknown,success
34,management,married,tertiary,no,46,yes,,-1,0,unknown,fail
28,technician,single,tertiary,no,4253,yes,,-1,0,unknown,fail
29,management,single,tertiary,no,471,yes,,-1,0,unknown,fail
33,technician,single,secondary,no,239,yes,,-1,0,unknown,fail
,blue-collar,married,primary,no,-39,yes,,-1,0,unknown,fail
,admin.,married,unknown,no,-1137,yes,yes,325,1,failure,fail
,blue-collar,divorced,secondary,no,543,no,yes,-1,0,unknown,fail
34,services,married,secondary,no,2918,no,yes,196,2,success,success
38,admin.,married,secondary,no,1767,yes,,-1,0,unknown,success
,technician,married,secondary,no,0,yes,yes,-1,0,unknown,success
38,admin.,single,secondary,no,2329,yes,,-1,0,unknown,fail
38,entrepreneur,married,tertiary,no,170,yes,,-1,0,unknown,success
,retired,married,secondary,no,819,yes,,-1,0,unknown,fail
,admin.,divorced,secondary,no,-342,no,,-1,0,unknown,fail
,blue-collar,married,secondary,no,1394,yes,,-1,0,unknown,fail
43,management,married,secondary,no,-26,yes,,-1,0,unknown,fail
29,management,married,tertiary,no,1366,yes,no,245,3,failure,fail
32,services,married,secondary,no,-538,no,yes,353,1,failure,fail
31,blue-collar,married,primary,no,54,yes,no,-1,0,unknown,fail
27,admin.,married,secondary,no,1293,yes,no,-1,0,unknown,success
43,technician,married,tertiary,no,1796,no,no,-1,0,unknown,fail
33,services,married,secondary,no,293,yes,no,,0,unknown,fail
46,admin.,married,secondary,no,22,no,no,-1,0,unknown,success
48,services,married,secondary,no,1573,no,no,-1,0,unknown,fail
51,management,single,tertiary,no,417,yes,no,-1,0,unknown,fail
29,unemployed,single,secondary,no,1055,no,no,603,1,failure,success
33,technician,married,secondary,no,806,no,no,-1,0,unknown,success
39,admin.,single,tertiary,no,2600,yes,no,-1,0,unknown,fail
25,technician,single,secondary,no,276,yes,no,-1,0,unknown,fail
68,retired,divorced,secondary,no,4189,no,no,-1,0,unknown,success
28,unemployed,single,primary,no,236,no,no,-1,0,unknown,fail
35,entrepreneur,married,secondary,no,1309,yes,no,-1,0,unknown,fail
47,admin.,single,secondary,no,3696,no,no,181,4,success,success
59,blue-collar,married,primary,no,5788,no,no,350,2,failure,fail
39,admin.,married,secondary,no,140,no,no,-1,0,unknown,fail
37,management,married,secondary,no,1180,yes,yes,135,1,other,fail
33,blue-collar,married,secondary,no,0,yes,no,-1,0,unknown,fail
30,self-employed,single,tertiary,no,251,no,no,-1,0,unknown,success
49,admin.,married,secondary,no,2116,no,no,-1,0,unknown,fail
30,management,single,tertiary,no,223,no,no,-1,0,unknown,fail
47,services,married,secondary,no,1111,no,no,-1,0,,fail
,student,single,primary,no,134,no,no,277,3,other,fail
36,technician,married,tertiary,no,606,yes,no,-1,0,unknown,fail
31,technician,married,secondary,no,1263,yes,no,-1,0,unknown,fail
43,admin.,divorced,secondary,no,57,no,no,-1,0,unknown,fail
37,blue-collar,married,secondary,no,513,yes,no,362,3,failure,fail
47,admin.,married,secondary,no,407,yes,no,-1,0,unknown,fail
35,blue-collar,divorced,primary,no,0,no,no,-1,0,unknown,fail
41,technician,married,secondary,no,1278,no,no,-1,0,unknown,fail
37,entrepreneur,divorced,tertiary,no,66,no,no,-1,0,unknown,success
35,blue-collar,married,secondary,no,-151,yes,no,-1,0,unknown,fail
32,blue-collar,married,primary,no,233,yes,no,-1,0,unknown,fail
48,technician,married,secondary,no,5,no,no,-1,0,unknown,fail
56,blue-collar,married,secondary,no,2409,no,no,-1,0,unknown,fail
47,admin.,married,secondary,no,4307,no,,-1,0,unknown,fail
59,management,married,secondary,no,544,no,,-1,0,unknown,fail
33,services,married,secondary,no,334,yes,,-1,0,unknown,fail
37,unemployed,married,secondary,no,-476,yes,,-1,0,unknown,fail
33,student,single,tertiary,no,254,yes,,-1,0,unknown,fail
24,services,single,secondary,no,-148,yes,,-1,0,unknown,fail
54,technician,married,secondary,no,7252,no,,-1,0,unknown,fail
58,retired,married,secondary,no,3382,no,yes,309,2,failure,fail
42,technician,married,secondary,no,2152,no,,181,2,failure,fail
55,management,married,primary,no,19,yes,,-1,0,unknown,fail
42,self-employed,married,tertiary,no,21861,no,,-1,0,unknown,fail
37,management,married,tertiary,no,2951,no,,-1,0,unknown,fail
28,services,married,secondary,no,20,yes,yes,-1,0,unknown,fail
58,management,married,primary,no,1136,no,,-1,0,unknown,fail
36,services,married,secondary,no,3972,yes,yes,-1,0,unknown,fail
32,management,married,tertiary,no,423,no,,-1,0,unknown,fail
32,admin.,single,secondary,no,131,yes,,183,2,success,success
67,retired,married,primary,no,2301,no,no,-1,0,unknown,fail
46,services,married,secondary,no,417,no,no,-1,0,unknown,fail
50,management,married,tertiary,no,4374,yes,no,113,3,failure,fail
30,management,single,secondary,no,135,no,no,-1,0,unknown,fail
40,blue-collar,married,primary,yes,-23,no,yes,-1,0,unknown,fail
31,technician,single,tertiary,no,375,yes,no,-1,0,unknown,fail
62,retired,married,secondary,no,3,no,no,-1,0,unknown,fail
34,blue-collar,married,primary,no,1309,yes,no,364,1,failure,fail
58,retired,single,tertiary,no,1411,yes,no,-1,0,unknown,fail
49,retired,single,primary,no,505,no,no,-1,0,unknown,fail
35,management,married,tertiary,no,1471,yes,yes,-1,0,unknown,fail
33,management,single,tertiary,no,-149,yes,no,-1,0,unknown,fail
29,management,divorced,tertiary,no,607,yes,yes,-1,0,unknown,fail
32,management,married,tertiary,no,2102,yes,no,-1,0,unknown,fail
39,unknown,married,secondary,no,1701,no,no,-1,0,,fail
60,blue-collar,married,primary,no,493,no,no,-1,0,,success
41,technician,married,secondary,no,2990,yes,no,-1,0,,fail
35,services,married,secondary,no,871,yes,no,-1,0,,fail
32,services,married,secondary,no,386,no,no,-1,0,,fail
45,technician,divorced,secondary,no,299,yes,no,-1,0,,fail
33,admin.,single,secondary,no,206,yes,no,-1,0,,fail
36,technician,divorced,secondary,no,566,yes,no,-1,0,,fail
37,management,married,tertiary,no,0,no,no,-1,0,,success
36,entrepreneur,divorced,tertiary,no,299,yes,no,-1,0,,fail
31,management,married,tertiary,no,81,yes,no,-1,0,,success
27,blue-collar,single,secondary,no,1279,yes,yes,-1,0,unknown,fail
30,management,married,tertiary,no,1077,no,no,96,1,failure,fail
32,services,married,secondary,no,28,yes,no,370,1,failure,fail
30,management,single,tertiary,no,717,yes,no,-1,0,,fail
30,technician,married,tertiary,no,606,yes,no,-1,0,,fail
33,technician,single,secondary,no,291,no,,-1,0,,fail
45,blue-collar,divorced,primary,no,6,yes,,-1,0,,fail
32,management,married,tertiary,no,4945,no,,119,2,other,success
33,management,single,tertiary,no,1590,no,,-1,0,unknown,fail
49,services,married,secondary,no,112,no,,-1,0,unknown,fail
44,self-employed,married,secondary,no,6553,no,,-1,0,unknown,fail
51,blue-collar,married,unknown,no,37,yes,,-1,0,unknown,fail
38,management,married,tertiary,no,1198,yes,,-1,0,unknown,fail
43,blue-collar,married,primary,no,1892,yes,,-1,0,unknown,fail
58,management,married,tertiary,no,246,yes,,288,2,failure,fail
33,unemployed,married,secondary,no,1211,no,,188,1,success,success
35,technician,married,secondary,no,2189,no,,-1,0,unknown,fail
54,services,married,secondary,no,-626,yes,yes,-1,0,unknown,fail
52,retired,married,secondary,no,1956,no,,-1,0,unknown,fail
58,unemployed,married,secondary,no,18,no,,-1,0,unknown,fail
32,blue-collar,married,secondary,no,157,yes,no,-1,0,unknown,fail
35,management,married,secondary,no,839,yes,no,-1,0,unknown,fail
32,management,married,tertiary,no,1028,no,no,-1,0,unknown,fail
41,management,single,tertiary,no,11008,no,no,-1,0,unknown,success
37,housemaid,married,secondary,yes,-205,no,yes,-1,0,unknown,fail
33,technician,married,secondary,no,9305,yes,no,-1,0,unknown,fail
36,management,single,tertiary,no,-74,yes,yes,-1,0,unknown,fail
30,technician,single,tertiary,no,198,yes,no,-1,0,unknown,fail
39,technician,single,secondary,no,935,no,no,-1,0,unknown,fail
37,technician,married,unknown,no,189,no,no,-1,0,unknown,success
46,unknown,married,tertiary,no,5837,no,no,-1,0,unknown,fail
55,services,married,secondary,no,2476,yes,no,-1,0,unknown,success
40,management,married,tertiary,no,12409,yes,no,99,2,failure,fail
52,services,married,secondary,no,-298,no,no,-1,0,unknown,fail
48,admin.,single,secondary,no,1544,yes,no,450,2,failure,success
34,technician,divorced,secondary,no,175,yes,no,-1,0,unknown,fail
40,blue-collar,married,primary,no,3090,yes,no,-1,0,unknown,fail
43,management,single,tertiary,no,2048,yes,no,-1,0,unknown,fail
28,technician,single,secondary,no,3,no,no,349,6,failure,fail
